"C(L/2,L/2)(m), created by Plot Digitizer, 2.4.1",,
"Date: 11/5/09, 9:33:02 PM",,
44,,
m,C(L/2,L/2)
31.792400,0.000000,
63.584800,0.000143,
96.026000,0.001286,
128.467000,0.003857,
159.611000,0.007286,
192.052000,0.013143,
224.493000,0.022286,
256.285000,0.031714,
288.078000,0.043000,
319.870000,0.056143,
352.311000,0.066429
384.104000,0.077714
415.896000,0.085143
448.337000,0.094714
479.481000,0.099714
512.571000,0.101857
544.363000,0.107429
575.507000,0.107143
607.948000,0.110429
640.389000,0.113429
672.182000,0.114286
703.974000,0.115286
736.415000,0.118286
768.208000,0.115286
800.000000,0.118571
31.792400,0.000000
63.584800,0.000000
96.026000,0.000000
127.818000,0.000143
160.260000,0.001000
192.052000,0.003000
223.844000,0.006857
255.637000,0.015000
287.429000,0.024000
319.870000,0.036000
352.311000,0.048000
384.104000,0.060000
415.896000,0.069000
447.689000,0.077000
479.481000,0.082857
511.922000,0.088000
543.715000,0.093000
576.156000,0.096000
607.948000,0.099000
